Kategori,Judul Berita,Isi Berita
SPORT,"WEC 2026: Paruh Kedua Musim Dimulai, Team WRT 32 Lebih Pede","FIA World Endurance Championship 2026 memasuki paruh kedua musim. Team WRT 32 lebih percaya diri meraih hasil bagus.
Dari empat balapan awal, selalu muncul pemenang berbeda. Team WRT #69 (BMW) menaklukkan seri pembuka di Imola, lalu Garage 59 #10 (McLaren) finis pertama di Spa.
Dua tim penggeber Corvette memenangi dua balapan terakhir di Le Mans serta Sao Paulo, yakni TF Sport #33 dan Racing Team Turkey #34.
TF Sport 33 sekarang memimpin klasemen dengan keunggulan 27 poin atas tim juara bertahan kelas LMGT3, The Bend Manthey #92 (Porsche). Keunggulan dengan selisih poin lumayan besar itu pun didapat karena TF Sport 33 menang di Le Mans yang memberikan poin ganda.
Selebihnya, dari Manthey 92 di peringkat dua hingga tim di posisi ke-10 hanya berselisih 19 poin. Ini menggambarkan betapa persaingan di LMGT3 sangat terbuka musim ini.
Menariknya lagi menatap putaran lima FIA WEC, Lone Star Le Mans atau 6 Hours of COTA akhir pekan ini, untuk kali pertama dua tim pemenang di dua kelas tahun lalu absen. Porsche Penske tak melanjutkan program Hypercar tahun ini.
Sementara tim United Autosports #95 yang tahun lalu menang di COTA bersama Sean Gelael, Darren Leung, dan Marino Sato juga absen dari program LMGT3 tahun ini. Mereka memilih fokus untuk menjadi partner operasional McLaren untuk tampil di Hypercar 2027.
Mobil McLaren sendiri masih ada di LMGT3, tapi manajemennya pindah ke tim Garage 59 dengan mengoperasikan mobil nomor 10 dan 58.
Sean dan Darren masih bersatu dan punya ingatan baik soal kemenangan tahun lalu. Namun kali ini cerita pasti berbeda karena mereka mengendarai BMW bersama Augusto Farfus di Team WRT #32.
""Musim liburan telah berakhir, sekarang saatnya fokus tantangan berat di hadapan,"" tulis akun resmi Team WRT.
Race 6 Hours of COTA disiarkan langsung secara livestreaming di kanal youtube KUY Entertainment, Senin (7/9) mulai pukul 01.00 WIB."
FINANCE,"17 Tahun Berdiri, LPEI Perkuat Peran 'Policy Bank' Dukung Ekspor Nasional","Lembaga Pembiayaan Ekspor Indonesia (LPEI) atau Indonesia Eximbank genap berusia 17 tahun. Institusi ini terus bertransformasi memperkuat perannya sebagai policy bank guna menunjang kebijakan pemerintah dalam mendorong ekspor nasional.
Langkah transformasi LPEI diarahkan langsung pada penguatan tata kelola kelembagaan. Kapasitas pembiayaan juga ditingkatkan untuk mengisi kesenjangan pasar yang belum sepenuhnya dapat dilayani oleh lembaga keuangan komersial. LPEI bertugas melengkapi ekosistem pembiayaan ekspor demi meningkatkan daya saing pelaku usaha.
Menteri Keuangan Purbaya Yudhi Sadewa meminta LPEI melihat kembali sektor unggulan terdampak globalisasi seperti tekstil, sepatu, dan baja yang kini kesulitan mendapat pinjaman.
""Sebagai lembaga pembiayaan ekspor, coba bicara dengan industri, tekstil, furniture dan lain lain, dan coba tawarkan bunga pembiayaan yang murah. Bila masih ketinggian juga, nanti saya lihat, apakah KPI pendapatan bunga LPEI perlu diturunkan, tidak perlu tinggi tapi efektif menjawab harapan pelaku usaha. Kan saya yang menentukan parameter kinerjanya,"" ujar Purbaya dalam keterangan tertulisnya, Minggu (13/9/2026).
Direktur Eksekutif LPEI Sukatmo Padmosukarso menyebut arahan tersebut semakin menegaskan peran penting lembaganya. LPEI tidak semata berorientasi pada nilai pembiayaan semata, tetapi juga mengedepankan dampak sosial bagi perekonomian nasional.
""Nilai yang kami bawa tidak berhenti pada pembiayaan, tetapi dirumuskan melalui Beyond Financing, Developmental Impact, dan Sustainability,"" kata Sukatmo.
Selama berkiprah, dukungan LPEI telah diberikan untuk berbagai proyek strategis luar negeri yang digarap kontraktor Indonesia. Bantuan pembiayaan ini disalurkan untuk proyek di Malaysia, Amerika Serikat, Timor Leste, hingga Arab Saudi. Pembukaan pasar nontradisional juga sukses dilakukan lewat ekspor pesawat PT Dirgantara Indonesia ke Nepal, Senegal, dan Filipina.
Saat ini, LPEI mendapat amanah khusus untuk terus memperkuat sektor padat karya.
""Di tengah meningkatnya ketidakpastian perdagangan akibat dinamika geopolitik dan ekonomi global, LPEI juga siap mendukung sektor lain yang membutuhkan intervensi kebijakan sesuai mandat countercyclical lembaga,"" papar Sukatmo.
Sukatmo menjelaskan transformasi lembaganya diarahkan agar peran LPEI semakin dirasakan oleh ekosistem ekspor, terutama dalam menjangkau kebutuhan pelaku usaha yang belum bisa dipenuhi mekanisme pasar.
""Dengan semangat Berkarya, Bermakna, kami ingin memastikan setiap dukungan LPEI memberikan manfaat nyata bagi eksportir dan perekonomian Indonesia,"" terangnya.
Sebagai agent of development, dampak sosial dan ekonomi atas fasilitas pembiayaan LPEI tercatat mencapai 3,49 kali dari setiap rupiah yang disalurkan per Juni 2026. Capaian ini berkontribusi besar terhadap pengurangan kemiskinan dan pemberdayaan masyarakat di Tanah Air. LPEI turut mengapresiasi para pelaku usaha inovatif melalui penganugerahan Indonesia Eximbank Export Champion Award."
FINANCE,Kemenhub Ungkap 10 Perusahaan Terbanyak Langgar Aturan Odol,"Kementerian Perhubungan (Kemenhub) mengungkapkan 10 badan usaha yang kendaraannya paling banyak terdeteksi melakukan pelanggaran angkutan barang selama uji coba Electronic Traffic Law Enforcement (ETLE) Hub. Uji coba berlangsung pada 10 Agustus sampai 10 September 2026.
Direktur Jenderal Perhubungan Darat Kemenhub, Aan Suhanan, menyampaikan dari 10 badan usaha tersebut, pelanggaran yang terdeteksi mencapai 1.295 dari total 72.236 kendaraan yang melakukan pelanggaran angkutan barang.
""ETLE Hub juga memberikan gambaran ada level badan usaha dalam satu bulan evaluasi. Secara keseluruhan, (10) top badan usaha ini menghasilkan sekitar 1.295 deteksi atau 1,8% dari seluruh deteksi. Jadi tadi yang data itu 10 besar tapi inisialnya,"" ujar Aan dalam dalam acara Evaluasi Penerapan ETLE HUB dalam Pengawasan Kendaraan Lebih Dimensi dan Lebih Muatan di Kantor Kemenhub, Jakarta, Senin (14/9/2026).
Meski begitu, Aan belum dapat merinci nama-nama secara lengkap 10 besar badan usaha yang terdeteksi melakukan pelanggaran. Aan memberikan inisialnya saja.
Berdasarkan data Kementerian Perhubungan, PT SIL menjadi badan usaha dengan frekuensi deteksi tertinggi selama uji coba ETLE Hub, yakni sebanyak 236 kali. Selanjutnya PT SS sebanyak 175 kali, CV SKE 144 kali, PT SA 140 kali, dan CV SMJ 140 kali.
Kemudian PT MKA tercatat 128 deteksi, disusul PT TOS sebanyak 115 deteksi, PT FGS 96 deteksi, PT BPT 90 deteksi, dan CV GJ sebanyak 82 deteksi. Aan mengatakan pelanggaran ini paling besar terjadi di Sumatera.
""Kita ada 51 titik ya, ada di Sumatera, ada di Jawa. 10 besar saat ini di Sumatera,"" katanya.
Ke depan, Kemenhub akan memanggil 10 badan usaha tersebut. Pemanggilan dilakukan untuk memberikan informasi dan peringatan terkait temuan pelanggaran yang dilakukan kendaraan mereka serta agar dilakukan pembenahan terhadap angkutan barangnya.
""Upaya apa yang harus kita lakukan? Tadi kita akan memanggil yang 10 besar ini nanti kita akan panggil, ini kan belum disanksi pidana, kita akan panggil dan informasikan bahwa perusahaan Anda terdeteksi melakukan pelanggaran di titik ini. Kami sudah tahu semua titiknya. Jadi tidak bisa Mengelak lagi, buktinya ada, fotonya ada sehingga ini juga untuk memberikan pelajaran kepada operator yang 10 besar tadi kita akan panggil nantinya,"" katanya.
""Saya harapkan semua operator angkutan barang ini segera memperbaiki data cara pemuatannya, mungkin dengan pemilik barang memperbaiki terkait dengan kerjasamanya, tarifnya dan sebagainya. Harapannya 2027 ini sudah clear, tidak ada lagi kendaraan yang over dimension,"" sambungnya.
(hrp/fdl)"
SPORT,Duel 300 Km/Jam Marc Marquez Vs Bezzecchi di Aragon: Motor seperti Nempel,"Marc Marquez mengungkap momen menegangkan saat berduel dengan Marco Bezzecchi di MotoGP Aragon. Kedua pebalap sempat seperti tertarik satu sama lain akibat turbulensi aerodinamika pada kecepatan sekitar 300 km/jam. Menyeramkan!
Momen tersebut terjadi pada lap keenam MotoGP Aragon, Minggu (30/8/2026), saat Marc Marquez dan Bezzecchi terlibat duel ketat untuk memperebutkan posisi terdepan. Keduanya berdampingan di trek lurus dengan kecepatan tinggi.
Duel itu bermula setelah Marquez melakukan manuver dari sisi dalam terhadap Bezzecchi di chicane. Tapi pebalap Aprilia tersebut mampu kembali berada di samping Marquez berkat keluar tikungan yang lebih baik.
Saat keduanya berakselerasi dan menaikkan gigi, Bezzecchi berada di antara Marquez dan sisi dalam trek. Turbulensi yang muncul membuat kedua motor mulai bergoyang ketika melaju dalam kecepatan tinggi.
""Itu momen yang luar biasa. Maksud saya, momen yang menakutkan,"" kata Marc Marquez seperti dilansir Crash.net.
""Karena dengan semua aerodinamika itu, pada kecepatan 300 kilometer per jam motor kami seperti tertarik satu sama lain. Saya mencoba [memberi ruang] dan bergerak ke sisi kanan, tetapi kami seperti 'menempel'.
""Jika Anda melihat tayangan ulangnya, bahkan ada sedikit wheelie di gigi enam! Dan tidak mungkin untuk menjauh dari motornya. Jadi itu momen yang menakutkan, tetapi tontonan yang bagus untuk para penggemar. Kemudian tiba saatnya Marco sedikit menyerah karena dia berada di sisi yang kotor,"" tuturnya mengisahkan.
Marquez akhirnya tetap bertahan di depan hingga memasuki zona pengereman. Bezzecchi kemudian kehilangan posisi kedua setelah disalip Pedro Acosta. Tiga pebalap terdepan tersebut kemudian mempertahankan posisi masing-masing hingga bendera finis dikibarkan."
FINANCE,Kementan Gandeng UGM-BRIN Perkuat Hilirisasi Hortikultura untuk Ekspor,"Kementerian Pertanian (Kementan) menggandeng Badan Riset dan Inovasi Nasional (BRIN), Fakultas Teknologi Pertanian Universitas Gadjah Mada (FTP UGM), dan pelaku usaha untuk memperkuat hilirisasi komoditas hortikultura. Kolaborasi ini ditujukan untuk meningkatkan daya saing dan kinerja ekspor produk hortikultura Indonesia.
Agenda strategis ini dibahas mendalam dalam Pertemuan Kolaborasi Penguatan Ekspor dan Hilirisasi Komoditas Hortikultura. Kegiatan tersebut berlangsung di Ruang Rapat Fakultas Teknologi Pertanian (FTP) UGM, Yogyakarta, Kamis (10/9). Pertemuan ini menjadi langkah nyata mempercepat integrasi sektor pertanian dari hulu hingga hilir.
Direktur Hilirisasi Hasil Hortikultura Kementan Freddy Lumban Gaol menyebut peningkatan ekspor membutuhkan kerja bersama lintas lembaga. Penguatan hilirisasi tidak cukup sekadar menggenjot angka produksi semata. Aspek krusial seperti mutu, kontinuitas pasokan, hingga pemenuhan syarat ketat negara tujuan mutlak harus diperhatikan. Freddy mengatakan hilirisasi komoditas hortikultura ini tidak bisa berjalan sendiri-sendiri.
""Kita harus mengintegrasikan rantai pasok dari hulu ke hilir, mulai dari penyediaan bahan baku yang memenuhi standar, penerapan teknologi pascapanen, perlakuan karantina, hingga penetrasi pasar ekspor,"" tutur Freddy pada keterangan tertulisnya, Minggu (13/9/2026).
Kolaborasi lintas instansi ini diarahkan untuk menjawab sejumlah tantangan komoditas hortikultura segar Indonesia di pasar global. Kendala utama lazimnya terkait durasi masa simpan, konsistensi mutu bahan baku, serta pemenuhan regulasi fitosanitari negara tujuan ekspor.
Dalam forum tersebut, BRIN memaparkan perkembangan teknologi iradiasi fitosanitari menggunakan electron beam di Cikarang. Teknologi canggih ini disiapkan untuk menangani komoditas unggulan seperti mangga, salak, dan buah naga. Langkah preventif ini menjamin komoditas ekspor benar-benar bebas dari organisme pengganggu tumbuhan.
Penerapan teknologi modern tersebut turut didukung oleh penyusunan pedoman nasional dan peningkatan kapasitas para inspektur. Penguatan sistem jaminan mutu ini sangat penting untuk memastikan produk hortikultura Indonesia memenuhi standar karantina internasional.
Selain penanganan produk segar, hilirisasi juga merambah pemanfaatan teknologi pengolahan canggih seperti freeze drying. Metode pengeringan ini dinilai ampuh meningkatkan nilai tambah komoditas. Umur simpan produk bisa diperpanjang secara signifikan tanpa mengurangi kualitas nutrisinya.
Saat ini, sejumlah produk olahan berbahan nangka, durian, salak, nanas, hingga pisang telah berhasil menembus pasar ekspor. Negara tujuannya mencakup Malaysia, Singapura, Uni Emirat Arab, Inggris, hingga Arab Saudi. Capaian positif ini menunjukkan besarnya peluang produk hortikultura olahan merajai etalase internasional.
Di sisi akademis, FTP UGM memegang peran penting lewat riset analisis kandungan nutrisi dan senyawa fungsional. Riset komprehensif ini diarahkan untuk menghasilkan karakterisasi produk unggulan. Hasil riset tersebut nantinya diandalkan untuk mendongkrak nilai jual komoditas Indonesia di pasar global.
Menindaklanjuti pertemuan ini, Kementan bersama para mitra telah menyepakati sejumlah langkah percepatan di lapangan. Salah satunya melalui peninjauan langsung ke fasilitas teknologi iradiasi milik PT Oneject Indonesia bersama tim BRIN.
Integrasi rantai pasok juga segera dikerjakan lewat identifikasi komoditas prioritas dan kelompok tani paling potensial. Langkah teknis ini diyakini sanggup memberikan kepastian mutu dan keterlacakan produk secara transparan dari hulu ke hilir.
Kementan bersama seluruh mitra berharap ekosistem hilirisasi hortikultura ke depan menjadi lebih inovatif dan berorientasi pada ekspor. Produk hortikultura Indonesia ditargetkan mampu bersaing secara kompetitif secara global sekaligus memenuhi kebutuhan pasar domestik."
FINANCE,"RI Bertahun-tahun Impor Beras-Jagung, Prabowo: Sekarang Kita Eksportir!","Presiden Prabowo Subianto mengungkapkan bertahun-tahun lamanya Indonesia menjadi importir bahan pangan. Mulai dari biji-bijian, beras, hingga jagung.
Saat ini Indonesia perlahan berubah, Indonesia mulai bisa menjadi negara eksportir. Hal itu terjadi karena beras produk dalam negeri saat ini sudah mulai diekspor ke berbagai negara.
Indonesia menurutnya siap untuk meningkatkan dukungan kepada berbagai negara yang butuh tambahan bahan pangan dengan melakukan ekspor.
""Indonesia selama bertahun-tahun merupakan importir terbesar biji-bijian, beras, dan jagung. Sekarang kita adalah eksportir, dan kita akan mampu meningkatkan dukungan untuk seluruh dunia,"" ujar Prabowo dalam pidatonya di KTT BRICS, Minggu (13/9/2026).
Menurutnya kini ekonomi hijau menjadi peluang besar dan bisa memperkuat posisi negara berkembang, khususnya anggota BRICS, dalam rantai pasok global.
""BRICS sudah menjadi rantai pasokan. Tugas kita adalah menghubungkan dan mengoptimalkannya, sehingga kekuatan yang ada ini dapat menjadi sumber nilai yang lebih besar bagi kita semua,"" tegas Prabowo.
Di sisi lain, menurutnya setiap negara harus mendorong pertumbuhan ekonomi yang dapat menjangkau jutaan masyarakat untuk membuat bangsa jadi lebih tangguh.
""Hal ini hanya dapat dicapai ketika pembangunan bersifat inklusif, dan ketika dikombinasikan dengan inovasi, kekuatan kolektif kita dapat menjadi kekuatan yang ampuh untuk mengubah kelangkaan menjadi kapasitas,"" papar Prabowo.
(acd/acd)"
FINANCE,"KMP Virgo Transport 8 Berusia 39 Tahun, Pernah Dipakai di Jepang","KMP Virgo Transport 8 yang mengangkut 243 penumpang terbalik dan tenggelam di Laut Jawa. Insiden ini terjadi usai kapal menghadapi cuaca buruk dalam perjalanan dari Surabaya ke Banjarmasin.
KMP Virgo merupakan kapal yang memiliki historis panjang di dunia pelayaran. Berdasarkan data MarineTraffic, dikutip dari detikJatim, Senin (14/9/2026), kapal tersebut sudah puluhan tahun beroperasi di Jepang sebelum akhirnya berlayar di laut Indonesia.
Virgo Transport 8 merupakan kapal penumpang yang dibangun pada 1987. Jika dihitung hingga 2026, kapal tersebut telah berusia sekitar 39 tahun. Kapal ini dibangun oleh Shin Kurushima Onishi Shipyard, galangan kapal yang berada di Imabari, Jepang.
Berdasarkan data yang tersedia, kapal itu masih tercatat melayani rute Kokura-Matsuyama hingga 30 Juni 2025 dengan nama layanan Ferry Kurushima. Setelah masa operasionalnya di Jepang berakhir, kapal tersebut kemudian berpindah ke Indonesia pada 2026.
Kapal selanjutnya mulai beroperasi dengan nama Virgo Transport 8 pada Juli 2026. Sejak itu, kapal tersebut melayani perjalanan pulang-pergi dengan rute Surabaya-Banjarmasin.
Di Indonesia, kapal tersebut dimiliki dan dioperasikan oleh PT Virgo Karya Shipping (VKS). Perusahaan pelayaran yang berkantor di Jalan Perak Barat, Surabaya, Jawa Timur.
Dikonfirmasi terpisah soal kapal tersebut, Ketua Umum Dewan Pimpinan Pusat Gabungan Pengusaha Nasional Angkutan Sungai (DPP Gapasdap) Khoiri Soetomo mengakui sempat mendengar kabar soal KMP Virgo Transport 8 memang merupakan kapal bekas.
""Namun, riwayat lengkap kepemilikan, perubahan nama, modifikasi, dan proses masuknya ke Indonesia tetap perlu dikonfirmasi melalui dokumen registrasi resmi kapal,"" ujar Khoiri saat dihubungi detikcom.
Di sisi lain, dalam industri pelayaran, penggunaan kapal bekas atau pre-owned vessel merupakan praktik yang umum dan wajar. Praktik itu, kata Khoiri, dilakukan baik di Indonesia maupun di berbagai negara.
""Kapal memang dirancang memiliki umur operasional yang panjang. Karena itu, ukuran keselamatan tidak semata-mata apakah kapalnya baru atau bekas, melainkan apakah kondisi aktual kapal masih laik laut, dirawat dengan baik, serta memenuhi seluruh ketentuan keselamatan,"" ujar Khoiri.
(hal/ara)"
FINANCE,"Tempat Fitnes Tutup, Konsumen Rugi Rp 8,46 Miliar!","True Fitness dan True Yoga di Singapura akan tutup. Konsumen terdampak penutupan dua jaringan pusat kebugaran tersebut melaporkan kerugian S$ 609.000 atau sekitar Rp 8,46 miliar (kurs Rp 13.900).
True Fitness dan True Yoga ditempatkan di bawah likuidasi sementara pada Kamis (10/9/2026). Pusat kebugaran dan yoga yang mereka operasikan akan ditutup sebagai bagian dari proses likuidasi.
Presiden Consumers Association of Singapore (CASE) Melvin Yong mengatakan pihaknya telah menerima 241 pengaduan dari konsumen yang terdampak penutupan tersebut. Kerugian berasal dari membership, paket, serta layanan yang telah dibeli konsumen tetapi belum digunakan.
""CASE telah menghubungi likuidator sementara dan akan terus meminta kejelasan mengenai penanganan konsumen yang terdampak, termasuk informasi yang dibutuhkan untuk mengajukan klaim,"" kata Yong, dilansir dari CNA, Sabtu (12/9/2026).
Berdasarkan laporan perusahaan induknya yang berbasis di Hong Kong, Kontafarma China Holdings, direksi True Fitness dan True Yoga menyatakan kedua perusahaan tidak mampu melanjutkan bisnis karena kewajiban yang mereka tanggung.
Praktisi insolvensi Goh Wee Teck dan Lin Yueh Hung dari RSM SG Corporate Advisory telah ditunjuk sebagai likuidator sementara. Rapat umum luar biasa kedua perusahaan akan digelar pada 7 Oktober 2026.
Dalam pertemuan tersebut akan diusulkan pembubaran perusahaan secara sukarela oleh kreditur, kemudian dilanjutkan dengan pertemuan bersama para kreditur.
Kontafarma menyebut kedua perusahaan sebagai bagian dari True Singapore Group. Grup tersebut mengoperasikan 10 pusat kebugaran dan yoga di Singapura melalui tiga merek, yakni True Fitness, TFX, dan Yoga Edition.
Kerugian Membengkak
True Singapore Group membukukan pendapatan sekitar HK$ 181,2 juta atau US$ 23,1 juta sepanjang tahun yang berakhir pada 31 Desember 2025. Pada periode yang sama, perusahaan mencatat kerugian sekitar HK$ 34,3 juta.
Pada akhir 2025, total aset perusahaan tercatat sekitar HK$ 149,7 juta. Sementara itu, total liabilitasnya mencapai sekitar HK$ 555,5 juta. Berdasarkan laporan manajemen yang belum diaudit, bisnis tersebut membukukan pendapatan sekitar HK$ 118,4 juta dengan kerugian HK$ 19,1 juta sepanjang delapan bulan pertama 2026.
Per 31 Agustus 2026, aset True Singapore Group tercatat sekitar HK$ 204,5 juta. Sementara total liabilitasnya mencapai HK$ 633,8 juta, sehingga perusahaan memiliki liabilitas bersih sekitar HK$ 429,3 juta.
Kontafarma mengatakan bisnis pusat kebugaran grup tersebut di Singapura menghadapi sejumlah tantangan, termasuk persaingan pasar yang semakin ketat dan meningkatnya biaya untuk mendapatkan pelanggan.
Meski telah mendapat suntikan dana tunai dari perusahaan induk, bisnisnya di Singapura tetap mencatat kinerja yang lemah dan menghadapi tekanan likuiditas yang signifikan.Semakin populernya boutique gym disebut meningkatkan persaingan di industri tersebut.
Selain itu, keberadaan fasilitas gym di kondominium dan kawasan perumahan juga mengurangi kebutuhan sebagian konsumen untuk menggunakan pusat kebugaran di luar tempat tinggal mereka.
(ily/hns)"
FINANCE,"Urai Antrean Panjang, Nozzle BBM Subsidi di 12 SPBU Ditambah","PT Pertamina Patra Niaga terus mengoptimalkan pelayanan BBM kepada masyarakat di Kota Makassar. Salah satu langkah yang dilakukan melalui Penyesuaian konfigurasi kapasitas pelayanan dan penambahan nozzle BBM Subsidi 12 SPBU di Kota Makassar.
Penyesuaian konfigurasi dilakukan dengan menyesuaikan kapasitas pengisian di SPBU berdasarkan kondisi dan kebutuhan di lapangan. Langkah ini ditujukan untuk meningkatkan kapasitas pelayanan, mempercepat proses pengisian BBM, serta mendukung pengurangan waktu antrean masyarakat di SPBU.
Upaya tersebut melengkapi langkah sebelumnya berupa penambahan menjadi total 25 SPBU yang beroperasi selama 24 jam di Kota Makassar. Pengoperasian SPBU 24 jam dilakukan untuk memperluas waktu pelayanan dan memberikan alternatif bagi masyarakat dalam mendapatkan BBM.
VP Corporate Communication Pertamina Patra Niaga, Kitty Andhora, mengatakan bahwa perusahaan terus melakukan evaluasi terhadap kondisi operasional di lapangan dan menindaklanjutinya dengan berbagai penyesuaian yang diperlukan.
""Kami terus melakukan evaluasi dan tindak lanjut berdasarkan kondisi aktual di lapangan. Penyesuaian konfigurasi kapasitas dan penambahan nozzle BBM Subsidi di 12 SPBU Makassar merupakan salah satu langkah yang kami lakukan untuk mengoptimalkan kapasitas pelayanan dan mendukung kelancaran masyarakat dalam mendapatkan BBM,"" ujar Kitty dalam keterangan tertulis, Sabtu (12/7/2026).
Pertamina Patra Niaga juga terus memperkuat monitoring stok dan penyaluran BBM di wilayah Makassar. Penyaluran dilakukan secara dinamis dengan mempertimbangkan kebutuhan di masing-masing SPBU, sehingga distribusi dapat terus disesuaikan dengan kondisi di lapangan.
Pertamina Patra Niaga memastikan berbagai langkah tindak lanjut akan terus dilakukan sesuai perkembangan kebutuhan masyarakat. Optimalisasi kapasitas, jam operasional, pelayanan, dan distribusi BBM menjadi bagian dari upaya perusahaan untuk menjaga kelancaran pemenuhan kebutuhan energi masyarakat di Kota Makassar.
Pertamina juga mengimbau masyarakat untuk melakukan pembelian BBM sesuai kebutuhan dan tidak melakukan pembelian secara berlebihan. Untuk informasi dan layanan lebih lanjut, masyarakat dapat menghubungi Pertamina Contact Center 135.
(ily/hns)"
SPORT,"Timnas Basket Putra di Asian Games 2026, Menangi Laga Pertama Dulu","Pelatih Timnas basket putra Indonesia David Singleton menegaskan target timnya saat ini adalah menang di pertandingan pertama Asian Games 2026. Fokus satu satu!
Hal itu disampaikan David menyoal target basket putra di Asian Games 2026 Aichi-Nagoya.
""Saya rasa pertanyaan itu memang selalu muncul. Tetapi bagi saya, prosesnya adalah menjalani pertandingan satu per satu. Target kami adalah memenangkan pertandingan pertama. Itulah target kami,"" kata Singleton kepada pewarta.
Bagi Singleton laga pertama merupakan poin penting dalam menentukan langkah Indonesia berikutnya. Yudha Saputera dkk langsung menghadapi tuan rumah di Aichi-Nagoya pada 10 September 2026.
Kemudian melawan Korea Selatan pada keesokan harinya, dan bertemu Arab Saudi usai istirahat sehari (13/9).
""Kami ingin keluar, memenangkan pertandingan pertama, mengawali turnamen dengan catatan 1-0, kemudian melihat sejauh mana kami bisa melangkah dari sana,"" lanjutnya.
Singleton realistis melihat peta kekuatan di Asian Games. Lawan-lawan Indonesia seperti Jepang dan Korea Selatan berada di jajaran 20-30 besar dunia.
""Beberapa tim yang akan kami hadapi berada di peringkat 20 besar atau 30 besar dunia. Sebagai sebuah negara, kami memang belum berada di level tersebut,"" ujarnya.
Namun kehadiran pemain-pemain tambahan di skuad Garuda membuat ia optimistis, skuadnya mampu bersaing di lingkungan kompetisi sekelas Asia.
""Kami percaya dengan tambahan pemain yang kami miliki, kami bisa berada di level dan lingkungan kompetisi tersebut,"" ujarnya.
""Kali ini ada beberapa pemain baru yang bergabung, yaitu Lester, Bram, Vincent, Prastawa, dan Derrick. Jadi, ada lima pemain baru yang masuk ke dalam tim.""
""Saya pikir ini memberi kami kesempatan besar untuk tampil lebih baik. Pada turnamen pertama, kami belajar banyak hal tentang diri kami sendiri. Kami beradaptasi sambil bermain, tetapi saat itu prosesnya sedikit terlambat,"" lanjut pelatih yang karib disapa Dave ini.
""Sekarang saya merasa kami sudah memiliki pengalaman dan pemahaman yang lebih baik. Kami lebih siap untuk menghadapi turnamen ini dan bersaing di level tinggi untuk Indonesia melawan tim-tim yang sangat tangguh,"" tegas Singleton.
Berikut Daftar Atlet Timnas Basket Putra di Asian Games
Derrick Michael
Abraham Grahita
Ali Bagir
Andakara Prastawa
Yudha Saputera (C)
Vincent Kosasih
Hendrick Yonga
Lester Prosper
Dame Diagne
Pandu Wiguna
Fhirdan Guntara
Tonton juga Video: Melihat Perjuangan Ratusan Atlet Basket di DBL Camp 2024
(mcy/aff)"
FINANCE,"Beli TV 43 Inch di Transmart Full Day Sale Bisa Diskon Rp 1,3 Juta","Transmart kembali menggelar program belanja hemat Full Day Sale pada Minggu, 13 September 2026. Mulai toko buka hingga pukul 22.00 WIB, pelanggan bisa menikmati diskon besar-besaran untuk berbagai produk elektronik pilihan, salah satunya TV LED 43 Inch UHD Smart.
Diskon hingga 50% + 20% diberikan, membuat harganya turun dari harga normal mulai Rp 5.399.000 menjadi harga promo mulai Rp 4.999.000. Di momen spesial ini, harga tersebut kembali dipotong menjadi hanya Rp 3.999.200 per unit.
Artinya, total diskon yang dapat dinikmati mencapai Rp 1.399.800 dari harga normal. Promo tersebut bisa dinikmati dengan menggunakan Kartu Kredit Bank Mega, Bank Mega Syariah.
Selama Transmart Full Day Sale, berbagai promo menarik lainnya hadir dengan diskon hingga 50% + 20% untuk beragam produk pilihan. Promo berlaku dengan syarat dan ketentuan, minimal transaksi Rp 300.000, serta tidak berlaku untuk pembelian partai besar.
Jadi tunggu apa lagi? Segera merapat ke Transmart terdekat, lalu nikmati diskon melimpah khusus di Transmart Full Day Sale, Minggu, 13 September 2026.
(hns/hns)"
